conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1939233535283569149,Sun Jun 29 22:48:56 +0000 2025,4,@CTsubasa_indo kalo dari posisi ini dia terus lompat dan nendang salto seharusnya yang terjadi adalah gol bunuh diri atau malah clearance wkwk https://t.co/8hxwMOnEVS,1939456074387775679,https://pbs.twimg.com/media/GupVBZEXwAAWvA0.jpg,CTsubasa_indo,in,,0,0,1,https://x.com/undefined/status/1939456074387775679,111229645,
1939450397200154870,Sun Jun 29 22:26:22 +0000 2025,0,udh berapa kali terbelit keinginan buat bunuh diri,1939450397200154870,,,in,,0,0,0,https://x.com/undefined/status/1939450397200154870,1816268745750503425,
1939291288748302465,Sun Jun 29 22:16:45 +0000 2025,0,@zyjjang @unmagnetism Nggak jugalah bro. Si bayi bisa menang karena dia di carry Oleh karakter terkuat di squid game. Kenapa gi hun lebih memilih mati bunuh diri itu buat nunjukin kalau bagi gi hun uang bukan segalanya.,1939447978437247056,,zyjjang,in,,0,0,0,https://x.com/undefined/status/1939447978437247056,1335922125559906307,
1938859696451907882,Sun Jun 29 22:08:11 +0000 2025,0,@nurrzanky @warungsastra pilihan apa kntol? 1. terus knp bunuh diri dosa? lu nyuruh org lain bunuh diri siap lu nanggung dosanya? 2. Bayi 1-3 tahun jangankan punya kesadaran buat menolak kehidupan. Kita aja ga bisa nginget apa yg kita lakuin dibawah umur 3 tahun lu gatau amnesia infantil kah?,1939445820824387699,,nurrzanky,in,,0,0,0,https://x.com/undefined/status/1939445820824387699,1307076292794224640,
1939120056568607108,Sun Jun 29 21:36:30 +0000 2025,0,@anthraxxxx 222 bunuh diri,1939437846944985317,,anthraxxxx,in,,0,0,0,https://x.com/undefined/status/1939437846944985317,713391896,
1939379705825964182,Sun Jun 29 21:27:28 +0000 2025,0,@MarcMarquez3918 @HazFabio Pertandingan yang dimaksud kemungkinan adalah laga perempat final Piala Emas Concacaf 2025 antara Meksiko dan Arab Saudi pada 28 Juni 2025 di State Farm Stadium Glendale Arizona. Meksiko menang 2-0 dengan gol dari Alexis Vega dan gol bunuh diri Abdullah Madu. Insiden dalam,1939435573594542428,,MarcMarquez3918,in,,0,0,0,https://x.com/undefined/status/1939435573594542428,1720665183188922368,
1939418028409827380,Sun Jun 29 20:17:45 +0000 2025,0,Bayern lg on fire baru menit ke 10 skor sudah 2:0 Bayern 2:0 Flamengo 2 gol di cetak oleh gol bunuh diri (Own goal) Pulgar &amp; Herry Kane #FIFACWC #FIFAClubWorldCup,1939418028409827380,,,in,,0,0,0,https://x.com/undefined/status/1939418028409827380,1864321136630353925,
1939416387279270295,Sun Jun 29 20:11:13 +0000 2025,0,Goaaaal FC BAYERN MUNICH 🇩🇪goal bunuh diri dari ERICK PULGAR sedikit memberikan asa buat the BAVARIAN 🇩🇪 babak Pertama Minimal ada 2 GOAL laah 🇩🇪‍️ #FIFACWC https://t.co/KEL8oEgQvT,1939416387279270295,https://pbs.twimg.com/media/Guow65ZX0AARTHm.jpg,,in,,1,0,0,https://x.com/undefined/status/1939416387279270295,1647867359250763776,
1939392843996701085,Sun Jun 29 18:41:34 +0000 2025,0,Ibu Anak Penjudi: SET UP: Anak utang gede karena judi Ibu ga tega liat anaknya spt itu terus. Eh keduanya ga sengaja ikut. Tapi mereka janji untuk saling menjaga dan saling menguatkan. ENDING: Anak panik karena ga dpt mangsa. Ibu bunuh diri. APAAN TOT,1939393823630938472,,diolauhatta,in,,0,1,0,https://x.com/undefined/status/1939393823630938472,272390516,
1939392843996701085,Sun Jun 29 18:39:40 +0000 2025,0,Gi Hun: SET UP: Mencari dalang game. Motivasi kuat. Membuktikan kalo semua manusia layak hidup. ENDING: Bunuh diri demi membuktikan kalo dia bukan binatang. TAPI KAN GAME NYA MASIH ADA DAN JALAN BABI.,1939393345392140719,,diolauhatta,in,,0,1,0,https://x.com/undefined/status/1939393345392140719,272390516,
