Review,text_clean,text_casefoldingText,text_slangwords,text_tokenizingText,text_stopword,text_akhir,text_stemming
 Bunuh diri jalur apa kak? Jalur tulisan ,Bunuh diri jalur apa kak Jalur tulisan,bunuh diri jalur apa kak jalur tulisan,bunuh diri jalur apa kak jalur tulisan,"['bunuh', 'diri', 'jalur', 'apa', 'kak', 'jalur', 'tulisan']","['bunuh', 'jalur', 'kak', 'jalur', 'tulisan']",bunuh jalur kak jalur tulisan,bunuh jalur kak jalur tulis
Apehal cloud mati pulak. Good people always die. Tapi kalau bukan sebab makwe wind rasanya cloud dah boleh setel awal dah wind tu. Last last makwe cloud mati dulu sebab wind bunuh. Last last nak tengok kawan baik dia bahagia cloud pon amik keputusan korbankan diri. Cibei.,Apehal cloud mati pulak Good people always die Tapi kalau bukan sebab makwe wind rasanya cloud dah boleh setel awal dah wind tu Last last makwe cloud mati dulu sebab wind bunuh Last last nak tengok kawan baik dia bahagia cloud pon amik keputusan korbankan diri Cibei,apehal cloud mati pulak good people always die tapi kalau bukan sebab makwe wind rasanya cloud dah boleh setel awal dah wind tu last last makwe cloud mati dulu sebab wind bunuh last last nak tengok kawan baik dia bahagia cloud pon amik keputusan korbankan diri cibei,apehal cloud mati pula good people always die tapi kalau bukan sebab makwe wind rasanya cloud sudah boleh setel awal sudah wind itu last last makwe cloud mati dulu sebab wind bunuh last last nak tengok kawan baik dia bahagia cloud pon amik keputusan korbankan diri cibei,"['apehal', 'cloud', 'mati', 'pula', 'good', 'people', 'always', 'die', 'tapi', 'kalau', 'bukan', 'sebab', 'makwe', 'wind', 'rasanya', 'cloud', 'sudah', 'boleh', 'setel', 'awal', 'sudah', 'wind', 'itu', 'last', 'last', 'makwe', 'cloud', 'mati', 'dulu', 'sebab', 'wind', 'bunuh', 'last', 'last', 'nak', 'tengok', 'kawan', 'baik', 'dia', 'bahagia', 'cloud', 'pon', 'amik', 'keputusan', 'korbankan', 'diri', 'cibei']","['apehal', 'cloud', 'mati', 'good', 'people', 'always', 'die', 'makwe', 'wind', 'cloud', 'setel', 'wind', 'last', 'last', 'makwe', 'cloud', 'mati', 'wind', 'bunuh', 'last', 'last', 'nak', 'tengok', 'kawan', 'bahagia', 'cloud', 'pon', 'amik', 'keputusan', 'korbankan', 'cibei']",apehal cloud mati good people always die makwe wind cloud setel wind last last makwe cloud mati wind bunuh last last nak tengok kawan bahagia cloud pon amik keputusan korbankan cibei,apehal cloud mati good people always die makwe wind cloud setel wind last last makwe cloud mati wind bunuh last last nak tengok kawan bahagia cloud pon amik putus korban cibei
gimana rasanya di bully satu perusahaan? dipandang rendah dan jijik sama orang-orang? sampe lo bilang pengen bunuh diri wkwk orang-orang sekarang tau kelakuan busuk lo aslinya gmn. murahan.,gimana rasanya di bully satu perusahaan dipandang rendah dan jijik sama orang orang sampe lo bilang pengen bunuh diri wkwk orang orang sekarang tau kelakuan busuk lo aslinya gmn murahan,gimana rasanya di bully satu perusahaan dipandang rendah dan jijik sama orang orang sampe lo bilang pengen bunuh diri wkwk orang orang sekarang tau kelakuan busuk lo aslinya gmn murahan,bagaimana rasanya di bully satu perusahaan dipandang rendah dan jijik sama orang orang sampai lo bilang pengin bunuh diri wkwk orang orang sekarang tau kelakuan busuk lo aslinya bagaimana murahan,"['bagaimana', 'rasanya', 'di', 'bully', 'satu', 'perusahaan', 'dipandang', 'rendah', 'dan', 'jijik', 'sama', 'orang', 'orang', 'sampai', 'lo', 'bilang', 'pengin', 'bunuh', 'diri', 'wkwk', 'orang', 'orang', 'sekarang', 'tau', 'kelakuan', 'busuk', 'lo', 'aslinya', 'bagaimana', 'murahan']","['bully', 'perusahaan', 'dipandang', 'rendah', 'jijik', 'orang', 'orang', 'lo', 'bilang', 'pengin', 'bunuh', 'wkwk', 'orang', 'orang', 'tau', 'kelakuan', 'busuk', 'lo', 'aslinya', 'murahan']",bully perusahaan dipandang rendah jijik orang orang lo bilang pengin bunuh wkwk orang orang tau kelakuan busuk lo aslinya murahan,bully usaha pandang rendah jijik orang orang lo bilang pengin bunuh wkwk orang orang tau laku busuk lo asli murah
gue udah ditahap kalo dia beneran bunuh diri pun gue ga peduli.,gue udah ditahap kalo dia beneran bunuh diri pun gue ga peduli,gue udah ditahap kalo dia beneran bunuh diri pun gue ga peduli,gue sudah ditahap kalau dia benaran bunuh diri pun gue tidak peduli,"['gue', 'sudah', 'ditahap', 'kalau', 'dia', 'benaran', 'bunuh', 'diri', 'pun', 'gue', 'tidak', 'peduli']","['gue', 'ditahap', 'benaran', 'bunuh', 'gue', 'peduli']",gue ditahap benaran bunuh gue peduli,gue tahap benar bunuh gue peduli
@labiebsadat 4 gol bunuh diri wkwk,gol bunuh diri wkwk,gol bunuh diri wkwk,gol bunuh diri wkwk,"['gol', 'bunuh', 'diri', 'wkwk']","['gol', 'bunuh', 'wkwk']",gol bunuh wkwk,gol bunuh wkwk
@unmagnetism Tah bisa berubah jadi transfomer cocok oge jadi bom bunuh diri https://t.co/5hSwl1b8OS,Tah bisa berubah jadi transfomer cocok oge jadi bom bunuh diri,tah bisa berubah jadi transfomer cocok oge jadi bom bunuh diri,teh bisa berubah jadi transfomer cocok oge jadi bom bunuh diri,"['teh', 'bisa', 'berubah', 'jadi', 'transfomer', 'cocok', 'oge', 'jadi', 'bom', 'bunuh', 'diri']","['teh', 'berubah', 'transfomer', 'cocok', 'oge', 'bom', 'bunuh']",teh berubah transfomer cocok oge bom bunuh,teh ubah transfomer cocok oge bom bunuh
@ommi_siregar @bobbynasution_ Sama saja bunuh diri sok sokan sidak sedang kan dirinya tidak bersih,Sama saja bunuh diri sok sokan sidak sedang kan dirinya tidak bersih,sama saja bunuh diri sok sokan sidak sedang kan dirinya tidak bersih,sama saja bunuh diri sok sokan sidak sedang kan dirinya tidak bersih,"['sama', 'saja', 'bunuh', 'diri', 'sok', 'sokan', 'sidak', 'sedang', 'kan', 'dirinya', 'tidak', 'bersih']","['bunuh', 'sok', 'sokan', 'sidak', 'bersih']",bunuh sok sokan sidak bersih,bunuh sok sok sidak bersih
inget ngehamilin cowo fiksi itu lbh baik drpd bunuh diri ya gais,inget ngehamilin cowo fiksi itu lbh baik drpd bunuh diri ya gais,inget ngehamilin cowo fiksi itu lbh baik drpd bunuh diri ya gais,ingat ngehamilin cowok fiksi itu lebih baik daripada bunuh diri ya gais,"['ingat', 'ngehamilin', 'cowok', 'fiksi', 'itu', 'lebih', 'baik', 'daripada', 'bunuh', 'diri', 'ya', 'gais']","['ngehamilin', 'cowok', 'fiksi', 'bunuh', 'gais']",ngehamilin cowok fiksi bunuh gais,ngehamilin cowok fiksi bunuh gais
Minsu dan daeho - agak kesal ke mrk Krn terlalu penakut cuma cara matinya nyesek Kakek 1000 - lu aki2 kok bisa anjir bertahan hidup Ampe last game. Ngeselin jg Yongsik - lu beban Nenek 149 - lu kenapa bunuh anakmu woi demi org lain dan kenapa bunuh diri Gilaa ga masuk logika,Minsu dan daeho agak kesal ke mrk Krn terlalu penakut cuma cara matinya nyesek Kakek lu aki kok bisa anjir bertahan hidup Ampe last game Ngeselin jg Yongsik lu beban Nenek lu kenapa bunuh anakmu woi demi org lain dan kenapa bunuh diri Gilaa ga masuk logika,minsu dan daeho agak kesal ke mrk krn terlalu penakut cuma cara matinya nyesek kakek lu aki kok bisa anjir bertahan hidup ampe last game ngeselin jg yongsik lu beban nenek lu kenapa bunuh anakmu woi demi org lain dan kenapa bunuh diri gilaa ga masuk logika,minsu dan daeho agak kesal ke mereka karena terlalu penakut cuma cara matinya menyesak kakek kamu aki kok bisa anjir bertahan hidup sampai last game mengesalkan juga yongsik kamu beban nenek kamu kenapa bunuh anakmu woi demi orang lain dan kenapa bunuh diri gila tidak masuk logika,"['minsu', 'dan', 'daeho', 'agak', 'kesal', 'ke', 'mereka', 'karena', 'terlalu', 'penakut', 'cuma', 'cara', 'matinya', 'menyesak', 'kakek', 'kamu', 'aki', 'kok', 'bisa', 'anjir', 'bertahan', 'hidup', 'sampai', 'last', 'game', 'mengesalkan', 'juga', 'yongsik', 'kamu', 'beban', 'nenek', 'kamu', 'kenapa', 'bunuh', 'anakmu', 'woi', 'demi', 'orang', 'lain', 'dan', 'kenapa', 'bunuh', 'diri', 'gila', 'tidak', 'masuk', 'logika']","['minsu', 'daeho', 'kesal', 'penakut', 'matinya', 'menyesak', 'kakek', 'aki', 'anjir', 'bertahan', 'hidup', 'last', 'game', 'mengesalkan', 'yongsik', 'beban', 'nenek', 'bunuh', 'anakmu', 'orang', 'bunuh', 'gila', 'masuk', 'logika']",minsu daeho kesal penakut matinya menyesak kakek aki anjir bertahan hidup last game mengesalkan yongsik beban nenek bunuh anakmu orang bunuh gila masuk logika,minsu daeho kesal takut mati sesak kakek aki anjir tahan hidup last game kesal yongsik beban nenek bunuh anak orang bunuh gila masuk logika
Aku pengen bunuh diri rasanya Kelilit pinjol nom besar semua Spinjam: 21jt Spaylater: 13jt Gopaypinjam: 10jt Kenapa sih dulu goblok banget yakin bakal bisa ketutup mutar2in uang di 3apps itu,Aku pengen bunuh diri rasanya Kelilit pinjol nom besar semua Spinjam jt Spaylater jt Gopaypinjam jt Kenapa sih dulu goblok banget yakin bakal bisa ketutup mutarin uang di apps itu,aku pengen bunuh diri rasanya kelilit pinjol nom besar semua spinjam jt spaylater jt gopaypinjam jt kenapa sih dulu goblok banget yakin bakal bisa ketutup mutarin uang di apps itu,aku pengin bunuh diri rasanya kelilit pinjol nom besar semua spinjam juta spaylater juta gopaypinjam juta kenapa sih dulu goblok banget yakin bakal bisa ketutup mutarin uang di apps itu,"['aku', 'pengin', 'bunuh', 'diri', 'rasanya', 'kelilit', 'pinjol', 'nom', 'besar', 'semua', 'spinjam', 'juta', 'spaylater', 'juta', 'gopaypinjam', 'juta', 'kenapa', 'sih', 'dulu', 'goblok', 'banget', 'yakin', 'bakal', 'bisa', 'ketutup', 'mutarin', 'uang', 'di', 'apps', 'itu']","['pengin', 'bunuh', 'kelilit', 'pinjol', 'nom', 'spinjam', 'juta', 'spaylater', 'juta', 'gopaypinjam', 'juta', 'goblok', 'banget', 'ketutup', 'mutarin', 'uang', 'apps']",pengin bunuh kelilit pinjol nom spinjam juta spaylater juta gopaypinjam juta goblok banget ketutup mutarin uang apps,pengin bunuh lilit pinjol nom spinjam juta spaylater juta gopaypinjam juta goblok banget tutup mutarin uang apps
